Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt +/-,On-Off +/-,BadPass,LostBall,Shoot Foul Commit,Shoot Foul Drawn,Off Foul Commit,Off Foul Drawn,PGA,And1,Blkd,Avg Dist on Shot,0-3 FGA,0-3 FG%,3-10 FGA,3-10 FG%,10-16 FGA,10-16 FG%,16-3P FGA,16-3P FG%,Player Key,All NBA 1st,All NBA 2nd,All NBA 3rd,All NBA,All NBA 1st2,All NBA 2nd2,All NBA 3rd2,All NBA Prev
Steven Adams,C,26.0,OKC,63.0,63.0,26.7,4.5,7.6,0.592,0.0,0.0,0.333,4.5,7.5,0.594,1.9,3.2,0.582,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,122.0,106.0,2020,20.5,0.604,0.006,0.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,3.8,2.7,6.5,0.185,1.9,1.1,2.9,2.1,0.0,0.0,0.0,0.0,1.0,4.5,5.3,33.0,27.0,62.0,87.0,20.0,5.0,336.0,17.0,32.0,4.4,0.513,0.743,0.397,0.416,0.082,0.513,0.002,1.0,Steven Adams2020,0,0,0,0,0,0,0,0
Bam Adebayo,PF,22.0,MIA,72.0,72.0,33.6,6.1,11.0,0.557,0.0,0.2,0.143,6.1,10.8,0.564,3.7,5.3,0.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9,116.0,106.0,2020,20.3,0.598,0.018,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,4.6,3.9,8.5,0.168,1.4,2.0,3.4,3.3,0.0,0.0,0.0,0.57,0.44,4.9,6.1,94.0,53.0,99.0,174.0,32.0,7.0,928.0,42.0,60.0,5.8,0.481,0.726,0.301,0.445,0.144,0.404,0.056,0.227,Bam Adebayo2020,0,0,0,0,0,0,0,0
LaMarcus Aldridge,C,34.0,SAS,53.0,53.0,33.1,7.4,15.0,0.493,1.2,3.0,0.389,6.2,12.0,0.519,3.0,3.6,0.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,115.0,112.0,2020,19.7,0.571,0.198,0.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,3.0,1.4,4.5,0.122,1.8,-0.5,1.4,1.5,0.0,0.0,0.0,0.06,0.94,-3.8,-5.3,13.0,20.0,70.0,83.0,29.0,1.0,309.0,23.0,20.0,13.7,0.202,0.719,0.129,0.471,0.227,0.461,0.245,0.433,LaMarcus Aldridge2020,0,0,0,0,0,0,0,0
Kyle Alexander,C,23.0,MIA,2.0,0.0,6.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0,96.0,116.0,2020,4.7,0.5,0.0,0.0,17.9,8.3,12.9,0.0,0.0,0.0,33.3,10.2,0.0,0.0,0.0,-0.003,-6.1,-3.5,-9.6,0.0,0.0,0.0,0.0,0.9,0.1,-12.9,-15.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Kyle Alexander2020,0,0,0,0,0,0,0,0
Nickeil Alexander-Walker,SG,21.0,NOP,47.0,1.0,12.6,2.1,5.7,0.368,1.0,2.8,0.346,1.1,2.8,0.391,0.5,0.8,0.676,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2,5.7,93.0,113.0,2020,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4,0.03,0.49,0.45,0.03,0.0,-4.2,-3.4,38.0,8.0,33.0,19.0,3.0,15.0,210.0,3.0,20.0,15.9,0.244,0.523,0.173,0.261,0.053,0.214,0.03,0.375,Nickeil Alexander-Walker2020,0,0,0,0,0,0,0,0
Grayson Allen,SG,24.0,MEM,38.0,0.0,18.9,3.1,6.6,0.466,1.5,3.7,0.404,1.6,2.9,0.545,1.0,1.2,0.867,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4,8.7,114.0,115.0,2020,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,0.8,0.4,1.2,0.082,-0.1,-1.2,-1.3,0.1,0.03,0.74,0.23,0.0,0.0,-5.7,-6.3,19.0,8.0,34.0,19.0,1.0,10.0,127.0,4.0,9.0,16.9,0.151,0.711,0.179,0.444,0.104,0.5,0.004,0.0,Grayson Allen2020,0,0,0,0,0,0,0,0
Jarrett Allen,C,21.0,BRK,70.0,64.0,26.5,4.3,6.6,0.649,0.0,0.1,0.0,4.3,6.6,0.658,2.4,3.9,0.633,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3,11.1,132.0,106.0,2020,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1.0,2.3,2.0,0.0,0.0,0.0,0.0,1.0,0.9,3.2,20.0,17.0,94.0,113.0,26.0,7.0,268.0,31.0,44.0,2.6,0.755,0.746,0.211,0.367,0.019,0.444,0.002,0.0,Jarrett Allen2020,0,0,0,0,0,0,0,0
Kadeem Allen,PG,27.0,NYK,10.0,0.0,11.7,1.9,4.4,0.432,0.5,1.6,0.313,1.4,2.8,0.5,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,106.0,114.0,2020,14.0,0.512,0.364,0.25,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,0.1,0.1,0.1,0.053,-0.1,-0.6,-0.7,0.0,0.83,0.15,0.02,0.0,0.0,-10.5,-4.3,2.0,2.0,2.0,2.0,1.0,1.0,51.0,1.0,2.0,15.1,0.159,0.571,0.182,0.375,0.227,0.6,0.068,0.333,Kadeem Allen2020,0,0,0,0,0,0,0,0
Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,21.1,1.4,4.8,0.291,0.5,2.0,0.25,0.9,2.8,0.32,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,88.0,108.0,2020,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.014,-4.4,1.4,-3.0,-0.1,0.0,0.0,0.34,0.65,0.01,-5.4,-5.0,7.0,3.0,13.0,14.0,4.0,3.0,46.0,1.0,4.0,13.3,0.267,0.435,0.244,0.19,0.0,0.0,0.07,0.333,Al-Farouq Aminu2020,0,0,0,0,0,0,0,0
Justin Anderson,SG,26.0,BRK,10.0,1.0,10.7,1.0,3.8,0.263,0.6,2.9,0.207,0.4,0.9,0.444,0.2,0.4,0.5,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3,2.8,78.0,109.0,2020,3.2,0.352,0.763,0.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,-0.2,0.1,-0.1,-0.054,-6.8,-0.9,-7.7,-0.2,0.0,0.31,0.33,0.32,0.05,0.8,1.5,2.0,1.0,9.0,3.0,0.0,3.0,19.0,2.0,2.0,20.3,0.211,0.375,0.026,1.0,0.0,0.0,0.0,0.0,Justin Anderson2020,0,0,0,0,0,0,0,0
